"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,,,,,,,,,"false","true",,"Tue Dec 15 14:06:11 +0000 2015","🇺🇸Freedom Fighter, 👼Kid Lawyer, 🌲Tree Hugger, 🐱Cat Lover #Resist #FBR",,,,,,,,,,,"0","7360","2052","2420","true","4566326238","false","false","false","Pavilion, NY","112","Deb Hagen","960532378497290240","false","https://pbs.twimg.com/profile_images/952665221264424960/JtorbyvZ_normal.jpg","","4871","https://twitter.com/debhagen2","user","https://x.com/debhagen2","debhagen2",,"@funder The GOP charged with investigating Trump/Russia are now obstructing the Mueller Trump/Russia investigation. This is what we are paying for with our tax dollars. That they want more of.","Thu Dec 14 23:23:58 +0000 2017"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/2708427350/1422569689","Tue Aug 05 05:36:18 +0000 2014","Novelist",,,,,,,,,,,"0","343","92","106","false","2708427350","false","false","false","Sherwood, Arkansas","27","FRED WORFE","1670822133499326464","false","https://pbs.twimg.com/profile_images/574040898616475648/Kt1yQIb4_normal.jpeg","","29813","https://twitter.com/fdworfe","user","https://x.com/fdworfe","fdworfe",,"Fox News and the Republicans who are trying to shut down Robert Mueller's investigation of the Trump/Russia collaboration should  be recognized for what they are:  A fifth column that should be charged with obstruction of justice and removed from office along with Donald Trump.","Thu Dec 14 23:22:17 +0000 2017"
,,,,,,,,,,,,,,"false","false",,"Tue Sep 13 00:07:54 +0000 2016","Patriot, Proud Veteran, Stand for the flag, Constitutionalist, America-First supporter, Truth-seeker",,,,,,,,,,,"0","225674","3768","3890","false","775486123229388800","false","false","false","","13499","MD90266",,"false","https://pbs.twimg.com/profile_images/809462774875111424/pii67E7O_normal.jpg","","186352","https://twitter.com/md90266","user","https://x.com/md90266","md90266",,"@Free_From_Trump Nonsense.  Answering those questions in no way jeopardizes the investigation.  Whereas, going further might.  Yet, answering the questions would reveal whether the FBI was complicit with Hillary's campaign team colluding with the Russians via the fake Russia dossier.","Thu Dec 14 23:21:38 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/25018369/1353171199","Wed Mar 18 03:15:39 +0000 2009","Working hard to realize my intellectual and iconoclastic capabilities. Freelance writer of history, politics, culture, and society.",,,,,,"narrativesofresistance.blogspot.com","http://narrativesofresistance.blogspot.com","0","23","https://t.co/FzWvtNMUmm","0","214","214","251","true","25018369","false","false","false","California, USA","168","Allen Gaborro","514103493359964160","false","https://pbs.twimg.com/profile_images/355882202/Mishima_normal.jpg","","9974","https://twitter.com/agaborro","user","https://x.com/agaborro","agaborro",,"@RichardHaass @LindseyGrahamSC Because Trump is saving his planned war of distraction with NKorea to draw attention away from encroaching Russia investigation.","Thu Dec 14 23:16:07 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/21431950/1398989602","Fri Feb 20 20:45:56 +0000 2009","#SAG #AnimalRights #Dogs #🐘#Karma #Resist #Prochoice  #Climate   Making the move to Bluesky @gme11.bsky.social  Come join us, it's like Twitter used to be.",,,,,,,,,,,"0","19404","16346","16258","true","21431950","false","false","false","","6371","gme11🌊🌊🌊",,"false","https://pbs.twimg.com/profile_images/1860004988581187584/LLJNjYv7_normal.jpg","","104011","https://twitter.com/gme11","user","https://x.com/gme11","gme11",,"Now the GOP is showing their complete partisanship by attacking Mueller. They don't care that Russia attacked the USA.  Maybe they're ALL complicit.  If you are a republican, will you let them shut down the investigation just to protect Trump?  If so, turn in your citizenship!","Thu Dec 14 23:15:35 +0000 2017"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/20900019/1522047310","Sun Feb 15 08:21:38 +0000 2009","I stand for medical freedom & informed consent; there is moral superiority in personal liberty, which includes small government. Opinions my own. 🇺🇸🟦🎗️",,,,,,,,,,,"0","45458","6489","6224","true","20900019","true","false","false","","813","ReneJayeee","1622687506738327552","false","https://pbs.twimg.com/profile_images/978141584993611777/0sY8XBWs_normal.jpg","","75112","https://twitter.com/MorningInUSA123","user","https://x.com/MorningInUSA123","MorningInUSA123",,"@greta This isn't about Mueller ending an investigation because of texts &amp; emails (in themselves improper &amp; highly biased). Mueller has simply found nothing &amp; will continue. to expand his scope til he gets a scalp the Democrats can celebrate and they want Trump's. Shut Mueller down NOW.","Thu Dec 14 23:59:25 +0000 2017"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/603344194/1476363407","Sat Jun 09 05:37:08 +0000 2012","Founder of New Kite Data, two time winner of Lifetime Achievement awards. Coined the phrase Galaxy Brain and proud University of North Alaska graduate",,,,,,,,,,,"0","343115","65790","1351","true","603344194","true","false","false","Ennui-sur-Blase","25785","Blume Industries CEO Balding 大老板","1848401216776093993","false","https://pbs.twimg.com/profile_images/1787845290982031361/5pCecMsY_normal.jpg","","159336","https://twitter.com/BaldingsWorld","user","https://x.com/BaldingsWorld","BaldingsWorld",,"I think Mueller would arrest his own Mom if she laundered Russian money, but it should disturb everyone the degree of partisanship that clearly existed by some on the Clinton and Trump investigation https://t.co/S4kJThO73T","Thu Dec 14 23:59:23 +0000 2017"
,,,,,,,,,,,,,,"false","true",,"Sat Feb 27 01:01:53 +0000 2016","Christian, Independant, Pro Life, Pro Law Enforcement (retired LEO), Pro Military, Pro Union, Pro 2A, Grandpa of 12.",,,,,,,,,,,"0","11983","581","607","false","703384522033897472","false","false","false"," WV","181","David L Marple",,"false","https://pbs.twimg.com/profile_images/922454231478624257/MBDrDXNt_normal.jpg","","10158","https://twitter.com/DavidLMarple2","user","https://x.com/DavidLMarple2","DavidLMarple2",,"@hrkbenowen @DIDNOTVOTE4HIM Maybe Scarborough is hoping he can get some love from Mueller's boys in the FBI should the investigation of his young interns death be reopened.","Thu Dec 14 23:59:05 +0000 2017"
,,,,,,,,,,,,,,"false","true",,"Tue Jan 26 21:22:53 +0000 2010","Middle aged Conservative Libertarian. Retweets are not endorsements.",,,,,,,,,,,"0","83984","1645","3142","false","108721209","false","false","false","United Kingdom.","4222","Paul Marks","1449424555827732491","false","https://pbs.twimg.com/profile_images/1431985824242049024/hK_k1zR4_normal.jpg","","64219","https://twitter.com/paulvmarks","user","https://x.com/paulvmarks","paulvmarks",,"This One INSANE Text Message May Have Just Fatally Wounded The Mueller Investigation https://t.co/gfbdswDdcr","Thu Dec 14 23:58:50 +0000 2017"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/266663514/1696826292","Tue Mar 15 16:02:59 +0000 2011","Principal @ CATALINA Housing. Long-term investments in Affordable Housing (LIHTC). Former senior officer, $3B+ transactions, w institutional LP. Year 15 expert.",,,,,,,,,,,"0","146640","890","1378","true","266663514","true","false","false","Redondo Beach, CA","967","Erik Millard",,"false","https://pbs.twimg.com/profile_images/1803676321773658114/prWCkEKN_normal.jpg","","22254","https://twitter.com/Millard_Chochki","user","https://x.com/Millard_Chochki","Millard_Chochki",,"@ChuckRossDC Do your part—undermine public trust in the Mueller investigation for partisan reasons. Shameful.","Thu Dec 14 23:58:32 +0000 2017"
