"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1056796201/1401028928","Thu Jan 03 03:42:07 +0000 2013","#GREATCHARTS #CHINASOLAPOWA?🤠 BOUBOU?LE? 🎱 WARNING: Past pe🧨🎈: BITCON!= $GME $TSLA $GLD $SLV $SPX $SPY $NDX $QQQ $VIX $DAX $CAC $FTSE $PTLC #YEP lol. WOW XD",,,,,,"0","48503","2720","994","true","1056796201","true","false","false","#space,#FollowMe, #Nature, #as","11996","#RALFTHEDESTROYER!","1654516245297807363","false","https://pbs.twimg.com/profile_images/1447700826324152322/vZTGt6aH_normal.jpg","","106562","https://twitter.com/ZERMIKE","user","https://x.com/ZERMIKE","ZERMIKE",,"'If this is true, does not get much bigger:' Trump blasts the media and Russia investigation https://t.co/vb8fqo1fYT via @bi_politics","Sat Apr 01 22:33:06 +0000 2017"
,,,,,,"false","true",,"Fri Sep 16 21:35:39 +0000 2011","",,,,,,"0","2530","163","949","true","374749281","false","false","false","W.Va.","1986","Carolyn Mefford",,"false","https://pbs.twimg.com/profile_images/1550421794/ATT35611643MA27816300-0004_normal.jpg","","22417","https://twitter.com/cmef1","user","https://x.com/cmef1","cmef1",,"The Investigation Into The Trump-Russia Scandal Just Took A Strange Turn https://t.co/Hltr9JScqd","Sat Apr 01 22:25:12 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/987550344/1683240313","Mon Dec 03 22:33:38 +0000 2012","🔥 Advocate of the People and Development Industry | ☝️ Mentor & Certified Coach to Executives and HR Practitioners | 🙌 Fractional CHRO | Happy Happy Joy Joy","c4talent.com","http://www.c4talent.com","0","23","https://t.co/IHvkec8JiV","0","17","38","52","false","987550344","false","false","false","New York","9","CarolCallahanFraser","1654084135512621056","false","https://pbs.twimg.com/profile_images/859964174918705155/oHDwbUyF_normal.jpg","","3152","https://twitter.com/carolcfraser","user","https://x.com/carolcfraser","carolcfraser",,"Yes, The White House And GOP Conspired To Shut Down The Trump-Russia Investigation--Here's The Proof https://t.co/oaQitOhM4v","Sat Apr 01 22:22:19 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/84919514/1731010055","Sat Oct 24 19:24:39 +0000 2009","Artist. Democrat. Animal Lover. Nazi hater. Grounded dreamer: works for me! Restore our democracy is our duty. Proud member of the Resistance.",,,,,,"0","373890","7626","7517","true","84919514","false","false","false","los angeles","39457","Mutsunaki","1854163727093837929","false","https://pbs.twimg.com/profile_images/1688299078038462464/CbP67Awm_normal.jpg","","233131","https://twitter.com/dorotheedillon","user","https://x.com/dorotheedillon","dorotheedillon",,"A majority of Americans favour the Trump-Russia investigation https://t.co/4sh1QghvpT","Sat Apr 01 22:13:43 +0000 2017"
,,,,,,"false","true",,"Mon Jan 23 22:43:03 +0000 2017","",,,,,,"0","0","2","2","false","823662354705633280","false","false","false","","0","VOR",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","12","https://twitter.com/CBL5938","user","https://x.com/CBL5938","CBL5938",,"@realDonaldTrump @NBCNews An honest man with nothing to hide would demand a full Russia investigation, not try to distract from one with lies. Trump=pathological liar","Sat Apr 01 22:13:13 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/246362315/1728423583","Wed Feb 02 17:12:04 +0000 2011","#RESIST, #EndCitizensUnited, #ClimateChange, #SaveDemocracy, #TBISurvivor, #AntiFascism, #DogLover, #VoteBlue, #ProHumanRights, #ProScience, #StopProject2025",,,,,,"0","101509","6867","7545","false","246362315","false","false","false","#UniteBlue, WA","3207","Stanford U Huff Post",,"false","https://pbs.twimg.com/profile_images/1855156957528903680/2nf8qDfM_normal.jpg","","126651","https://twitter.com/Tyroist","user","https://x.com/Tyroist","Tyroist",,"Retweeted The Hill (@thehill):

Poll: Majority of Americans want independent investigation of Trump's Russia ties... https://t.co/x5n2MAhNPY","Sat Apr 01 22:12:23 +0000 2017"
,,,,,,"true","true",,"Fri May 03 23:33:28 +0000 2013","Retired RN. Mother of two, Mimi of four beautiful girls. #Resist #LoveTrumpsHate",,,,,,"0","18867","599","1606","true","1400958420","false","false","false","","6","colleen","994866501973893120","false","https://pbs.twimg.com/profile_images/949755635586994176/qi8v7cqh_normal.jpg","","19662","https://twitter.com/MimiCocoSDBama","user","https://x.com/MimiCocoSDBama","MimiCocoSDBama",,"@realDonaldTrump @NBCNews trump/Russia will continue to be the story cause you are guilty. Investigation won't stop til you are proven guilty of treason &amp; banished!!","Sat Apr 01 22:12:21 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/3307695437/1489344857","Thu Jun 04 02:05:44 +0000 2015","Nurse for many lifetimes, Ballerina in the water.
Jonathan Livingston Seagull/Station Eleven/Star Trek/K-Drama/Raised by Wolves/Radiohead High and Dry",,,,,,"0","8043","264","819","false","3307695437","false","false","false","Off Planet","9","Thinking....",,"false","https://pbs.twimg.com/profile_images/671297477367189504/KY_e8buu_normal.jpg","","6888","https://twitter.com/teechiebird","user","https://x.com/teechiebird","teechiebird",,"'If this is true, does not get much bigger:' Trump blasts the media and Russia investigation// Bigly Bigly Small Hands Luke (wink)","Sat Apr 01 22:11:54 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/1533143322/1662704135","Thu Jun 20 07:30:26 +0000 2013","Conservative | NeverTrump | NatSec | free trade | C&W | uisge beatha | auto racing | So as through a glass, and darkly The age-long strife I see | 🇺🇦 🇮🇱",,,,,,"0","133","1703","2259","true","1533143322","false","false","false","Across the Anglosphere","6063","D. Neil McKay, Esq.","1857857799570485280","false","https://pbs.twimg.com/profile_images/1856189059040727040/XI-mbc87_normal.jpg","","138123","https://twitter.com/dneilmckay","user","https://x.com/dneilmckay","dneilmckay",,"52% of Americans want investigation on Trump-Russia via @axios https://t.co/XxaJFAnZJB","Sat Apr 01 22:08:33 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1852610588/1592056303","Tue Sep 10 22:03:08 +0000 2013","The 1st Amendment means everything.",,,,,,"0","7510","146","41","true","1852610588","false","false","false","Pittsburgh, Pennsylvania, USA","162","JAStander","1836852199281836284","false","https://pbs.twimg.com/profile_images/1271802428929847296/Sc3zsuPv_normal.jpg","","1105","https://twitter.com/Jas_energy","user","https://x.com/Jas_energy","Jas_energy",,"Don't mind investigation if #Russia played our election/Just investigate all possibilities/Now it's just bad people on anti trump vendetta https://t.co/GuiIeVibSH","Sat Apr 01 22:04:29 +0000 2017"
