"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/withheldInCountries/0","text","createdAt"
"true","true","https://pbs.twimg.com/profile_banners/144325625/1385254735","Sun May 16 00:13:47 +0000 2010","Intellectual Property, Entertainment, Criminal Defense attorney, with more than 32 years of experience. Moonlighting as a piano bar player in NYC.",,,,,,,,,,,"0","111869","7245","6322","false","144325625","true","false","false","New York, NY","995","Maurice Ross",,"false","https://pbs.twimg.com/profile_images/547937317856370688/bIjWsZi-_normal.jpeg","","127615","https://twitter.com/MauriceMichael","user","https://x.com/MauriceMichael","MauriceMichael",,"Follow the money next week as the Russia investigation of Trump explodes https://t.co/owKYoDSHuy","Sat Apr 15 23:39:32 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/17417994/1518725593","Sun Nov 16 04:12:15 +0000 2008","Twitter gives me verfremdungseffekt
Redline VR owner",,,,,,"redlinevr.com","http://www.redlinevr.com","0","23","https://t.co/WnQ6z03QkY","0","418","283","386","true","17417994","false","false","false","Chicago, IL","86","Aaron Sawyer",,"false","https://pbs.twimg.com/profile_images/1124005403203862530/xEvqwXvc_normal.png","","2806","https://twitter.com/aaronsawyer1","user","https://x.com/aaronsawyer1","aaronsawyer1",,"'Concrete evidence of collusion between Trump team and Russia' handed to official investigation https://t.co/jar2zVLtZ6","Sat Apr 15 23:37:24 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/844695745856884736/1574021050","Wed Mar 22 23:42:14 +0000 2017","",,,,,,,,,,,"0","1941","147","618","true","844695745856884736","false","false","false","","1011","Political Behavior Commentary",,"false","https://pbs.twimg.com/profile_images/1195827049450967041/PgHpF9ej_normal.jpg","","16675","https://twitter.com/PBCommentary","user","https://x.com/PBCommentary","PBCommentary",,"@thehill That's right, Hill, enable person who is one of the targets of the Russia-trump campaign investigation to distort nationally potential guilt","Sat Apr 15 23:29:00 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/817258052520816645/1509434384","Fri Jan 06 06:34:38 +0000 2017","#StrongerTogether  I am a Proud Democrat We are all Americans, no matter our differences Affordable higher education and health care should be available to all.",,,,,,,,,,,"0","24442","5850","6112","true","817258052520816645","false","false","false","Home.","2014","Proud Democrat","1540092310196654080","false","https://pbs.twimg.com/profile_images/863242533396111360/gZemPL6E_normal.jpg","","57086","https://twitter.com/HadEnoughOfGOP","user","https://x.com/HadEnoughOfGOP","HadEnoughOfGOP",,"'Concrete evidence of collusion between Trump team and Russia' handed to official investigation https://t.co/xTq6p8kVGr","Sat Apr 15 23:22:58 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/715043492985176065/1503036078","Wed Mar 30 05:10:28 +0000 2016","An outsider looking in",,,,,,,,,,,"0","88062","662","485","false","715043492985176065","false","false","false","Australia","287","Geoff Logan. 🇭🇲 🇹🇭",,"false","https://pbs.twimg.com/profile_images/898424553088598019/8mEAVqNv_normal.jpg","","38345","https://twitter.com/geofflogan48","user","https://x.com/geofflogan48","geofflogan48",,"'Concrete evidence of collusion between Trump team and Russia' handed to official investigation https://t.co/FxLcdxsJcO","Sat Apr 15 23:22:52 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/771298494/1436320374","Tue Aug 21 11:04:30 +0000 2012","",,,,,,,,,,,"0","33717","1732","1340","true","771298494","false","false","false","","9404","aknyc","1412420849072758784","false","https://pbs.twimg.com/profile_images/1443480038943436804/uM2wRS0d_normal.jpg","","229633","https://twitter.com/aknyc24","user","https://x.com/aknyc24","aknyc24",,"Don't buy this

'Concrete evidence of collusion between Trump team and Russia' handed to official investigation https://t.co/V97BxofksM","Sat Apr 15 23:18:41 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/449600949/1491473204","Thu Dec 29 08:41:26 +0000 2011","""Striving for social justice is the most valuable thing to do in life."" -- Albert Einstein

A daily source for progressive news and opinions",,,,,,,,,,,"0","81782","126100","100993","true","449600949","false","false","false","","510","SafetyPin-Daily","1009870099443081216","false","https://pbs.twimg.com/profile_images/853499185655681028/EhQjWkwg_normal.jpg","","631470","https://twitter.com/SafetyPinDaily","user","https://x.com/SafetyPinDaily","SafetyPinDaily",,"'Concrete evidence of collusion between Trump team and Russia' handed to official investigation   | @charlottengland
https://t.co/6lExsqZPyt","Sat Apr 15 23:15:06 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/38931726/1384716435","Sat May 09 21:29:17 +0000 2009","Hello, my name is Donald Reith. I'm the founder of The Appeal on Facebook. The Appeal is a grassroots social movement spreading awareness of economic inequality",,,,,,"theappealtoall.wordpress.com","http://theappealtoall.wordpress.com","0","23","https://t.co/pqirGcpiJy","0","502","1608","3108","true","38931726","false","false","false","","625","Donald Reith",,"false","https://pbs.twimg.com/profile_images/3437112775/a09867f4322266a894035f25bcea14ff_normal.jpeg","","86545","https://twitter.com/TheAppealtoall","user","https://x.com/TheAppealtoall","TheAppealtoall",,"'Concrete Evidence of Collusion Between Trump Team and Russia' Handed to Official Investigation https://t.co/IZMDjsBolu","Sat Apr 15 23:12:00 +0000 2017"
"false","true",,"Fri Feb 26 05:20:16 +0000 2016","",,,,,,,,,,,"0","603","3","36","true","703087159973122049","false","false","false","","0","pamela chasteen",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","1741","https://twitter.com/pameroni60","user","https://x.com/pameroni60","pameroni60",,"@GOP We want an independent non partisan investigation that is complete and thorough re: entire Russia issue &amp; Trump. GOP won't do this.","Sat Apr 15 23:11:44 +0000 2017"
"false","true",,"Fri Sep 09 18:28:38 +0000 2016","LIVE! LOVE! LAUGH!COMEDY!SAD BUT TRUE/NOT TO B TAKEN SERIOUS!LIVE/LOVE/LAUGH!ALL OPINIONS  R MY OWN",,,,,,,,,,,"0","30855","298","464","false","774313579910721536","false","false","false","","1","LIVE LOVE LAUGH",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","41989","https://twitter.com/smartmove19675","user","https://x.com/smartmove19675","smartmove19675",,"WE HAVE NO CONFIRMATION OF MISSLE TEST!TRUMP/RUSSIA R DIVERTING ATTENTION FROM TRUMPS FBI INVESTIGATION!HAS ANYONE CONFIRMED THIS? NO!  NOT! https://t.co/8jBOu5CdAT","Sat Apr 15 23:10:59 +0000 2017"
