"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"https://pbs.twimg.com/profile_images/1631723279676317709/-fjgaR2p_bigger.jpg","Bloomberg",,,,,,,,,"https://twitter.com/business","DeepLink","Badge","BusinessLabel","true","false","https://pbs.twimg.com/profile_banners/252751061/1693946394","Tue Feb 15 20:50:58 +0000 2011","Bloomberg Originals offers cinematic documentary-style explorations and feature shows at the intersection of business, climate, technology, sports and beyond.",,,,,,,,,,,"bloomberg.com/originals","https://www.bloomberg.com/originals","0","23","https://t.co/dv8NfcSeSO","0","1667","1227428","1528","true","252751061","true","false","false","","229138","Bloomberg Originals","1862421306748076324","false","https://pbs.twimg.com/profile_images/1699160402150461440/rT9MGzwt_normal.jpg","","269049","https://twitter.com/bbgoriginals","user","https://x.com/bbgoriginals","bbgoriginals","Business","Robert Mueller has subpoenaed the Trump Organization for documents related to the Russia investigation, the New York Times reports #tictocnews https://t.co/KAtDgcRnov","Thu Mar 15 23:48:13 +0000 2018"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/780903679041871872/1554257536","Tue Sep 27 22:55:20 +0000 2016","an internal arts practitioner w/my acquired mind attached to social justice: a clinical social worker, lover of animals, our planet, most people & the Dao",,,,,,,,,,,,,,,,"0","93441","2112","2396","false","780903679041871872","false","false","false","New York, USA","71","RocktheWorldw/Light",,"false","https://pbs.twimg.com/profile_images/1113264290272817152/I7sioR7l_normal.jpg","","10559","https://twitter.com/RTWWLight","user","https://x.com/RTWWLight","RTWWLight",,"And Mueller’s investigation will continue on despite. So Trump will have to keep up with his lame distractions for all you MAGA BOTs. https://t.co/DznCrKg5M9","Thu Mar 15 23:47:36 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/842220290457382912/1489636470","Thu Mar 16 03:45:39 +0000 2017","",,,,,,,,,,,,,,,,"0","2","344","787","false","842220290457382912","false","false","false","Virginia, USA","22554","News, 24 hours",,"false","https://pbs.twimg.com/profile_images/842222111754227712/rGGk4NGH_normal.jpg","","22827","https://twitter.com/geraldmccool11","user","https://x.com/geraldmccool11","geraldmccool11",,"Mueller subpoenas Trump Organization, bringing investigation closer to the president https://t.co/bUYRjkm1qN https://t.co/ZeT9xQb1dM","Thu Mar 15 23:47:15 +0000 2018"
,,,,,,,,,,,,,,"false","false",,"Wed Feb 08 21:32:21 +0000 2017","Love and peace. #resist. #IAMAMERICA. UNITED WE STAND.",,,,,,,,,,,,,,,,"0","74487","1500","2807","true","829442771652079616","false","false","false","","309","Laura D.",,"false","https://pbs.twimg.com/profile_images/831928678351306752/---4H0ko_normal.jpg","","142279","https://twitter.com/delblaura","user","https://x.com/delblaura","delblaura",,"@RWPUSA Mueller is doing his job. If trump wasn’t as dirty and corrupt as all the people he is associated with. He would let the process flow and not have his lawyers limit the questions needed to conclude this investigation","Thu Mar 15 23:47:01 +0000 2018"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/4236661/1348373049","Wed Apr 11 20:12:11 +0000 2007","Steadfastly irresolute. Mostly. Sometimes.",,,,,,,,,,,,,,,,"0","78577","191","3077","true","4236661","false","false","false","Mottled Blue Space Marble 🌍","2278","thinman","592749879430139906","false","https://pbs.twimg.com/profile_images/415934430/thinjam_normal.jpg","","42815","https://twitter.com/thinman","user","https://x.com/thinman","thinman",,"@NatashaBertrand And with that, the Administration can claim the investigation is null and void. Watch for window dressing sanctions as basis for firing Mueller.","Thu Mar 15 23:46:07 +0000 2018"
,,,,,,,,,,,,,,"false","true",,"Tue Jul 04 20:05:27 +0000 2017","I just call it like I see it. If you like what I say GREAT, if not, Who Asked You
#ImpeachDtrump",,,,,,,,,,,,,,,,"0","20596","367","482","true","882329528298643456","false","false","false","Desert~Lots of beach, no water","201","ProudMama","892239421642203136","false","https://pbs.twimg.com/profile_images/1184031314313240576/E8DcwSLw_normal.jpg","","5344","https://twitter.com/JenniferHodso10","user","https://x.com/JenniferHodso10","JenniferHodso10",,"@essenviews Not just DT's kids... but DT himself.

It's about Damn time.

Once Mueller finds out DT got $$$ from a SANCTIONED RUSSIAN BANK it's like game over.

GOP gonna get heat too for shutting down investigation when they knew about sanctioned Russian $. 

No collusion my ass!!!!","Thu Mar 15 23:45:14 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/257088146/1547743428","Thu Feb 24 18:10:39 +0000 2011","mom, swimmer, lawyer, Cali girl, poly girl, proud libtard",,,,,,,,,,,,,,,,"0","1961","77","163","false","257088146","false","false","false","Indianapolis","5","Ellen Gregory",,"false","https://pbs.twimg.com/profile_images/829406202287235074/87tlki40_normal.jpg","","3937","https://twitter.com/jbgregory1","user","https://x.com/jbgregory1","jbgregory1",,"@krassenstein Congress should just let Mueller do the investigation. Our MOC have enough to deal with. Guns. DACA. Congress will not do an investigation with nearly the credibility that Mueller has. Just stop.","Thu Mar 15 23:44:52 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/37536623/1632717148","Sun May 03 23:49:41 +0000 2009","Retired Bureau of Prisons, Husband, Father,Grandfather,Proud to be blocked byTrump. Vet.I love Baseball, Football, & news.#RESIST!",,,,,,,,,,,,,,,,"0","40917","10231","8247","true","37536623","false","false","false","Mo.","187","James Campbell","929504257182715905","false","https://pbs.twimg.com/profile_images/1441964661168082951/SRy4MymS_normal.jpg","","118358","https://twitter.com/campbellj4","user","https://x.com/campbellj4","campbellj4",,"@chp3120 @politicususa Mueller is doing a fair investigation and leaving nobody out","Thu Mar 15 23:44:32 +0000 2018"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1135218048/1695518118","Wed Jan 30 21:18:07 +0000 2013","",,,,,,,,,,,,,,,,"0","7032","281","834","true","1135218048","false","false","false","","2226","Blue Skies / PROTECT DEMOCRACY","1479567864935981062","false","https://pbs.twimg.com/profile_images/1705752687323615232/4GbuFXo2_normal.jpg","","154851","https://twitter.com/gailcara_gail","user","https://x.com/gailcara_gail","gailcara_gail",,"@TomFitton @JudicialWatch @realDonaldTrump Mueller is a Republican, former Marine, States Attorney, FBI Director. He has spent his entire life in public service. You’re a liar if you think he would allow any improper behavior in his investigation. All assistants are DOJ lawyers.","Thu Mar 15 23:43:36 +0000 2018"
,,,,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/66680736/1696177721","Tue Aug 18 13:31:10 +0000 2009","If it ain't politics, it ain't important. 😂  #420, #LGBTQ, #BLM, #UKRAINE. #VETS #TIKTOK, #NativeAmericans, WOMAN'S RIGHT TO HER BODY.🇺🇦🇺🇦🇺🇦",,,,,,,,,,,,,,,,"0","223899","6076","6355","true","66680736","false","false","false","The Afterlife","2403","T i m e T r a v e l e r Philly @Threads©🇺🇲💙","1625666511443574789","false","https://pbs.twimg.com/profile_images/1712472366444675072/t3c_QsYD_normal.jpg","","327689","https://twitter.com/pergolaman","user","https://x.com/pergolaman","pergolaman",,"@PolticsNewz Scam! Just a way to see what Mueller is up to! Won't work! Y'all need to be investigated yourself! Bribery! Kickbacks! Stock Fraud.

You have no grounds for an investigation and you won't have the Senate or House after NOVEMBER!","Thu Mar 15 23:43:08 +0000 2018"
