"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/3131156139/1711587467","Thu Apr 02 00:53:19 +0000 2015","@granisnark12 https://t.co/eLURYWPLqI
https://t.co/kzYxXmyqYC
Civil Rights 1st. 
 🚫Fascism, Racism, Antisemitism,Islamophobia,
Anti-LGBTQ,Misogyny","threads.net","http://threads.net","14","37","https://t.co/eLURYWPLqI","granisnark.bsky.social","http://granisnark.bsky.social","38","61","https://t.co/kzYxXmyqYC",,,,,,"0","102010","4905","5477","true","3131156139","false","false","false","Near the Gulf of Mexico","1885","granisnark","1520043861674008576","false","https://pbs.twimg.com/profile_images/1700950767333507072/N7tMMj6M_normal.jpg","","123217","https://twitter.com/granisnark12","user","https://x.com/granisnark12","granisnark12","@jasoninthehouse When are U starting the investigation into Trump's money trail to Russia??","Sat Nov 05 23:03:38 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/892395037/1372631617","Sat Oct 20 03:38:49 +0000 2012","I believe that  We The People must mean All The People before we cant truly be a Great America!",,,,,,,,,,,,,,,,"0","13295","229","371","true","892395037","false","false","false","Orlando , Florida.","2351","Raymond Keller",,"false","https://pbs.twimg.com/profile_images/2748010025/0029453323cbc0ac7eb00af99f41c408_normal.jpeg","","52927","https://twitter.com/keller_raymond","user","https://x.com/keller_raymond","keller_raymond","@futurefortyfive The Trump campaign is now under investigation by the FBI for ties to Russia. I wonder what we'll fine,talk about a scandal!","Sat Nov 05 23:02:12 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/892395037/1372631617","Sat Oct 20 03:38:49 +0000 2012","I believe that  We The People must mean All The People before we cant truly be a Great America!",,,,,,,,,,,,,,,,"0","13295","229","371","true","892395037","false","false","false","Orlando , Florida.","2351","Raymond Keller",,"false","https://pbs.twimg.com/profile_images/2748010025/0029453323cbc0ac7eb00af99f41c408_normal.jpeg","","52927","https://twitter.com/keller_raymond","user","https://x.com/keller_raymond","keller_raymond","@FoxNews so the Trump campaign is under investigation by the FBI for ties to Russia , put that on your nightly news.","Sat Nov 05 22:56:36 +0000 2016"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/498379280/1401402074","Tue Feb 21 00:22:41 +0000 2012","Please adopt an animal from a shelter. They are the happiness you seek. NO DMs! I follow/unfollow back. #AdoptDontShop #MarkKelly2028 #SpayNeuterPets 💙🇺🇦💛",,,,,,,,,,,,,,,,"0","113701","1808","1768","true","498379280","false","false","false","Here...There...and Everywhere","649","Betty","1618211843524407296","false","https://pbs.twimg.com/profile_images/876440591097360385/Eha0sB-f_normal.jpg","","20763","https://twitter.com/AmazonWoman22","user","https://x.com/AmazonWoman22","AmazonWoman22","@lvgurl Trump.FBI said he's been under investigation for ties to Russia all summer.  You are right though..he's a corrupt, satanic, rapist.","Sat Nov 05 18:20:51 +0000 2016"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/4861681608/1554189147","Fri Feb 05 01:10:50 +0000 2016","Finally got my pony, started asking when I was 4 years old.  I am a lover of dogs & horses, and people who have as much empathy as they do.",,,,,,,,,,,,,,,,"0","85209","508","109","false","4861681608","true","false","false","","386","Debbie Brady","1113020247555129344","false","https://pbs.twimg.com/profile_images/1070631912123834373/eiN6ZaHb_normal.jpg","","79771","https://twitter.com/RechecktoCheck","user","https://x.com/RechecktoCheck","RechecktoCheck","@AlvinsMom @idrinkyourtears @washingtonpost @PostOpinions Exhibit 1: keeping quiet investigation of Trump's campaign to Russia.","Sat Nov 05 15:53:46 +0000 2016"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/3272988272/1462094038","Thu Jul 09 13:11:42 +0000 2015","",,,,,,,,,,,,,,,,"0","54668","131","681","true","3272988272","false","false","false","Australia","965","Wicked Raven",,"false","https://pbs.twimg.com/profile_images/726722750971170816/HXezIpwA_normal.jpg","","16338","https://twitter.com/OfficialWickedR","user","https://x.com/OfficialWickedR","OfficialWickedR","@johnchino01 @NYMag because there's articles callin those debunked articles false.. And trump is under FBI investigation for ties to Russia.","Sat Nov 05 15:30:52 +0000 2016"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/21995502/1721526182","Thu Feb 26 10:06:47 +0000 2009","Love Country Music and GH,  The Walking Dead and Firecountry.  Followed By  @wwwbigbaldhead  @mcbridemelissa,   @gilliardl_jr  @cudlitz and  @KenWahl1  @Flomein",,,,,,,,,,,,,,,,"0","37415","1641","1968","false","21995502","false","false","false","Norwalk, OH","1142","Linda Bell","1814360215212429467","false","https://pbs.twimg.com/profile_images/1857593219573334016/srq02yOE_normal.jpg","","48196","https://twitter.com/Lindabell54","user","https://x.com/Lindabell54","Lindabell54","@EraAimee Trump is under investigation by FBI for his dealings with Russia","Sat Nov 05 12:46:42 +0000 2016"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/3289627574/1442645140","Fri Jul 24 09:31:10 +0000 2015","First E-Source is an ultimate engineering #Community for #Engineering_KnowledgeBase (#EKB) and Networking. We ♥️ #Engineering!!",,,,,,,,,,,"bit.ly/Firstesource_c…","http://bit.ly/Firstesource_com","0","23","https://t.co/l2oQayP6QN","0","2709","1841","4493","false","3289627574","false","false","false","United States","5984","FirstESource","1270694500864843776","false","https://pbs.twimg.com/profile_images/666910929049686016/4pLbBTEo_normal.jpg","","12451","https://twitter.com/FirstESource","user","https://x.com/FirstESource","FirstESource","Where is #JamesComey press conference over investigation into Trump's campaign manager Manafort, for relations with Russia -#satchat #AMJOY https://t.co/BofgqpK4r5","Sat Nov 05 12:19:21 +0000 2016"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/747823410/1559632875","Thu Aug 09 19:48:35 +0000 2012","If the press is not free, neither are we.
Pass John L. Lewis Voting Rights Act.
And one day, God said, ""I feel great! I'm going to make Matthew Bomer!""-ZachLevi",,,,,,,,,,,,,,,,"0","2497","632","1569","false","747823410","false","false","false","","868","🇺🇦!!Wake up!!RepugsAreStealingYourVote@tpdnly","1443322843442425859","false","https://pbs.twimg.com/profile_images/1135803275675127809/1k_ynpM3_normal.png","","65985","https://twitter.com/tpdnly","user","https://x.com/tpdnly","tpdnly","Laura Clawson has a post up backing up Harry Reid’s assertion that Comey has been sitting on an investigation into ties betwn Trump &amp; Russia","Sat Nov 05 03:33:02 +0000 2016"
,,,,,,,,,,,"false","true",,"Mon Jan 19 15:41:32 +0000 2015","",,,,,,,,,,,,,,,,"0","1699","46","197","false","2990107207","false","false","false","","53","Ren MacKinnon",,"false","https://pbs.twimg.com/profile_images/557202570486116352/M1uw537x_normal.jpeg","","2121","https://twitter.com/RenMacKinnon","user","https://x.com/RenMacKinnon","RenMacKinnon","@TrueLeader2020 @HillaryClinton what about Trump university Fraud charges or investigation into collusion with Russia","Sat Nov 05 02:55:07 +0000 2016"
