"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/424759254/1566784077","Wed Nov 30 04:24:34 +0000 2011","Cat Dad. Software Engineer. Political junkie. Perspective is everything.",,,,,,,,,,,,,,,,,,,,,,,,,,"0","112533","661","75","true","424759254","false","false","false","Minnesota, USA","1861","Bryan",,"false","https://pbs.twimg.com/profile_images/1296595107060187136/877j1B-j_normal.jpg","","73246","https://twitter.com/NotAChaunce","user","https://x.com/NotAChaunce","NotAChaunce",,"@realDonaldTrump Off to feed my followers. Lies tonight will include:
- US Steel opening 7(or 6) new plants
- Russia’s sad that Trump won
- Biggest tax cut in history
- North Korea no longer a nuclear threat
- Mueller investigation a hoax
and of course the crowd will be the biggest ever assembled","Sat Aug 04 23:54:44 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/13850422/1692614972","Sat Feb 23 03:12:49 +0000 2008","Political news, campaign stories and Washington coverage from CNN Politics.",,,,,,,,,,,,,,,,,,,,,"cnn.com/politics","http://cnn.com/politics","0","23","https://t.co/F5tsftvQpR","0","4","4566852","327","true","13850422","true","false","false","Washington, DC","153718","CNN Politics",,"false","https://pbs.twimg.com/profile_images/1693576055737487360/7rbADPvJ_normal.jpg","","222639","https://twitter.com/CNNPolitics","user","https://x.com/CNNPolitics","CNNPolitics","Business","President Donald Trump is concerned about whether his son Donald Trump Jr. might have exposure in the special counsel's Russia investigation https://t.co/1BqH6qO6hj https://t.co/fWJnP9Akh1","Sat Aug 04 23:53:25 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/260537575/1507209225","Fri Mar 04 02:19:19 +0000 2011","Calabi-Yau spaces, six-dimensional object represented here in two-dimensions,",,,,,,,,,,,,,,,,,,,,,,,,,,"0","14730","268","457","true","260537575","false","false","false","","1753","Mary Grace","691413479199100928","false","https://pbs.twimg.com/profile_images/1107475622530412544/yyZc_pab_normal.jpg","","43327","https://twitter.com/marygrace0503","user","https://x.com/marygrace0503","marygrace0503",,"Trump called on Attorney General Sessions to end the special counsel’s inquiry into Russia’s interference in the 2016 election, issuing a directive on Twitter to shut down an investigation that is scrutinizing his tweets now for evidence of obstruction. https://t.co/oMY8niPXnY","Sat Aug 04 23:53:24 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/51728851/1488930232","Sun Jun 28 13:27:58 +0000 2009","Have you ever wondered what you would do during the civil rights movement? Stop wondering. It is the civil rights movement. What are you doing? C Savage
👋☺️ 🌊",,,,,,,,,,,,,,,,,,,,,"threads.net/@twitterkatey","https://www.threads.net/@twitterkatey","0","23","https://t.co/Ux9ccqyZzR","0","205795","5894","6226","true","51728851","false","false","false","","6281","Katey","1022157301648580608","false","https://pbs.twimg.com/profile_images/876888951776137216/_vnK1SFi_normal.jpg","","335916","https://twitter.com/Bewitched9","user","https://x.com/Bewitched9","Bewitched9",,"@gibson_medley @JohnWat99017786 @SenFeinstein Congressional hearings concurred with IC assessment &amp; Mueller's indictments that proved Russia attacked the US 2016 election to help Trump win.
We don't know if Trump conspired with Russia to defraud the United States yet.. The investigation is not over.
https://t.co/9kYqPq5Sjz","Sat Aug 04 23:49:42 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/786913853208686592/1560630931","Fri Oct 14 12:57:37 +0000 2016","The Best deals tweeted daily so you never miss a bargain",,,,,,,,,,,,,,,,,,,,,"tweet247.co.uk","http://tweet247.co.uk","0","23","https://t.co/qy5tQnBw1T","0","32","186","29","false","786913853208686592","false","false","false","Atlanta, GA","52636","Daily Deals USA",,"false","https://pbs.twimg.com/profile_images/1139994857521459203/qlBc5taL_normal.jpg","","55878","https://twitter.com/Daily_trend_USA","user","https://x.com/Daily_trend_USA","Daily_trend_USA",,"Trump voicing concerns about son being entangled in Mueller probe: President Donald Trump is concerned about whether his son Donald Trump Jr. might have exposure in the special counsel's Russia investigation, leading to his increasingly frenzied public… https://t.co/TUN7odYJBW https://t.co/63hIYpMnxB","Sat Aug 04 23:48:07 +0000 2018"
"false","true",,"Thu Oct 07 23:01:05 +0000 2010","Marketer, Entrepreneur, Blogger.
I keep watching all kind of news. Just follow me! Bilingual",,,,,,,,,,,,,,,,,,,,,"africaisoft.marketing","http://africaisoft.marketing","0","23","https://t.co/3K5qfrsHhu","0","1791","1117","988","true","199874723","false","false","false","Toronto, Ontario","391305","News by Amanda","1821993947973267892","false","https://pbs.twimg.com/profile_images/768972424645898240/_AtgZ0os_normal.jpg","","477846","https://twitter.com/amandasome","user","https://x.com/amandasome","amandasome",,"Trump voicing concerns about son being entangled in Mueller probe: President Donald Trump is concerned about whether his son Donald Trump Jr. might have exposure in the special counsel's Russia investigation, leading to his increasingly frenzied public… https://t.co/nYPi6Sx1Qw https://t.co/qsC7V7b9Vr","Sat Aug 04 23:48:07 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/38388599/1638517698","Thu May 07 07:06:37 +0000 2009","Xoomer. Seattle sports, sci-fi, trivia, toons, TV/film, humor. Usually follows back. BLM/LGBTQ 👍. RTs/hearts = support. He/Him. ISTP. Cover by @sigmas",,,,,,,,,,,,,,,,,,,,,,,,,,"0","312145","3873","4411","true","38388599","false","false","false","Coast Salish Territory ","1904","Michael B 🖖🌎 🌻","1734487476016922937","false","https://pbs.twimg.com/profile_images/1726787745824325632/lHvA49Zs_normal.jpg","","22105","https://twitter.com/JrMariner77","user","https://x.com/JrMariner77","JrMariner77",,"The Russia Investigation is hard to kill cuz it's not a hoax. Democracy's under siege, but the repair can start in November. Trump's on deadly ground cuz he's a traitor. Oh, and Mueller's out for justice. Donald should make an executive decision &amp; resign. https://t.co/s1sBOT5v0x","Sat Aug 04 23:31:35 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/875712269329473537/1552670269","Fri Jun 16 13:50:49 +0000 2017","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","627","25","67","true","875712269329473537","false","false","false","California, USA","50","Adam Corera",,"false","https://pbs.twimg.com/profile_images/1107855083348189184/xmgW6ALT_normal.jpg","","738","https://twitter.com/Adam4857462","user","https://x.com/Adam4857462","Adam4857462",,"@FoxNews @Mark_Penn Wow the investigation was not based on the dossier as alleged  by Fox. The special counsel was appointed after Trump fired Comey and the second day after Trump brought Russia’s top spy to the White House","Sat Aug 04 23:27:37 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/4634538081/1451325430","Mon Dec 28 17:46:21 +0000 2015","Web Page https://t.co/OnE4Yi7EpR Like on Facebook https://t.co/LaAGveAaYm   Add on Google Plus https://t.co/8WmHTY1fxL
Donate https://t.co/FomLvU9cMZ","baconzbitz.net","http://www.baconzbitz.net/","9","32","https://t.co/OnE4Yi7EpR","facebook.com/BaconsBitsOU812","http://facebook.com/BaconsBitsOU812","50","73","https://t.co/LaAGveAaYm","plus.google.com/u/0/1155170594…","https://plus.google.com/u/0/115517059478743490635","95","118","https://t.co/8WmHTY1fxL","baconzbitz.net/index.php/dona…","http://www.baconzbitz.net/index.php/donation","126","149","https://t.co/FomLvU9cMZ","baconzbitz.net","http://www.baconzbitz.net/","0","23","https://t.co/OnE4Yipfhp","0","0","164","726","false","4634538081","false","false","false","Pennsylvania, USA","210","Bacon'z Bitz","689883459599339520","false","https://pbs.twimg.com/profile_images/681532512066093056/evN8zxb__normal.jpg","","58478","https://twitter.com/BaconzBitz1","user","https://x.com/BaconzBitz1","BaconzBitz1",,"Joyce Vance, a former federal prosecutor, predicted that special counsel Robert Mueller will send evidence to Congress that lists President Trump as an “unindicted co-conspirator” in the Russia investigation so lawmakers can ""form the body, potentially,... https://t.co/VDoE14d2E1","Sat Aug 04 23:27:23 +0000 2018"
"false","true",,"Mon Jan 29 20:46:35 +0000 2018","#FilAm #FilipinoAmazing #FilipinoAmerican #FilipinaAmerican #Filipinx #Immigrant #Resist #BrownLivesMatter #StopAAPIhate #StopAsianHate",,,,,,,,,,,,,,,,,,,,,"filam.one","http://filam.one","0","23","https://t.co/5k9SGT5jPW","0","40","437","475","false","958078945223520256","false","false","false","California, USA","5212","FIL AM🇵🇭🇺🇸",,"false","https://pbs.twimg.com/profile_images/1223073778340515840/yQMRCsb0_normal.jpg","","8883","https://twitter.com/FILAM_one","user","https://x.com/FILAM_one","FILAM_one",,"Trump Tells Sessions to End Mueller's Russia Investigation https://t.co/Rn4iOGThha https://t.co/A755ZuhK1Y","Sat Aug 04 23:27:03 +0000 2018"
